sale_id,product_id,date,units_sold,selling_price
S00001,P0068,2024-02-14,4,2103
S00002,P0097,2024-04-08,5,6208
S00003,P0018,2024-02-04,19,808
S00004,P0083,2024-05-13,19,5771
S00005,P0052,2024-03-25,12,3864
S00006,P0090,2024-01-07,17,6877
S00007,P0035,2024-04-19,2,4463
S00008,P0040,2024-01-20,8,5040
S00009,P0056,2024-02-19,19,2841
S00010,P0034,2024-05-11,12,304
S00011,P0051,2024-02-20,6,3525
S00012,P0039,2024-02-20,12,5180
S00013,P0089,2024-02-17,13,4449
S00014,P0088,2024-05-17,4,887
S00015,P0003,2024-06-13,13,1294
S00016,P0015,2024-05-21,8,2271
S00017,P0055,2024-01-03,1,1073
S00018,P0047,2024-05-12,4,3957
S00019,P0039,2024-02-14,4,6538
S00020,P0041,2024-03-11,10,5979
S00021,P0006,2024-05-22,13,2599
S00022,P0098,2024-05-19,4,1246
S00023,P0049,2024-05-21,1,836
S00024,P0039,2024-03-01,18,3163
S00025,P0068,2024-03-28,14,5845
S00026,P0051,2024-03-15,6,3524
S00027,P0074,2024-01-20,5,1714
S00028,P0023,2024-04-23,18,872
S00029,P0024,2024-05-31,3,5399
S00030,P0018,2024-03-17,1,5619
S00031,P0050,2024-04-27,11,6507
S00032,P0062,2024-02-11,3,2624
S00033,P0097,2024-02-29,7,1053
S00034,P0076,2024-05-10,11,5944
S00035,P0028,2024-03-15,10,3371
S00036,P0072,2024-05-24,16,2653
S00037,P0095,2024-04-21,7,630
S00038,P0034,2024-01-06,4,641
S00039,P0066,2024-04-06,9,455
S00040,P0069,2024-06-15,17,3396
S00041,P0041,2024-05-14,19,4436
S00042,P0023,2024-06-25,9,3521
S00043,P0057,2024-02-22,11,2837
S00044,P0100,2024-05-14,13,2939
S00045,P0039,2024-02-17,10,5243
S00046,P0003,2024-02-25,9,2110
S00047,P0036,2024-04-28,3,3058
S00048,P0013,2024-06-06,8,2944
S00049,P0022,2024-02-06,14,992
S00050,P0035,2024-03-28,5,1825
S00051,P0059,2024-02-20,14,5603
S00052,P0065,2024-03-06,2,286
S00053,P0085,2024-03-06,13,688
S00054,P0013,2024-03-11,4,4303
S00055,P0022,2024-04-20,18,2892
S00056,P0096,2024-02-15,6,188
S00057,P0046,2024-02-26,18,4502
S00058,P0071,2024-05-11,5,4668
S00059,P0067,2024-05-10,12,1416
S00060,P0011,2024-03-15,9,316
S00061,P0030,2024-03-31,6,6326
S00062,P0061,2024-06-27,13,2495
S00063,P0035,2024-06-08,3,4348
S00064,P0008,2024-05-08,16,395
S00065,P0073,2024-05-02,15,1667
S00066,P0013,2024-03-13,12,2754
S00067,P0088,2024-01-28,19,2817
S00068,P0038,2024-01-14,3,5908
S00069,P0030,2024-06-20,17,6317
S00070,P0001,2024-02-03,14,4167
S00071,P0024,2024-02-19,13,1411
S00072,P0035,2024-03-26,10,3682
S00073,P0055,2024-06-28,5,6069
S00074,P0051,2024-01-01,15,5013
S00075,P0060,2024-05-01,1,3068
S00076,P0042,2024-01-12,2,6747
S00077,P0051,2024-04-25,14,2412
S00078,P0068,2024-02-17,9,2117
S00079,P0078,2024-05-10,3,260
S00080,P0036,2024-04-14,1,4561
S00081,P0073,2024-04-16,6,3920
S00082,P0012,2024-04-23,13,4465
S00083,P0098,2024-03-22,10,820
S00084,P0092,2024-02-27,12,2639
S00085,P0047,2024-02-25,15,1871
S00086,P0100,2024-03-29,1,4657
S00087,P0046,2024-01-15,6,1347
S00088,P0049,2024-06-02,16,5539
S00089,P0023,2024-06-04,1,3699
S00090,P0033,2024-02-08,1,401
S00091,P0049,2024-05-24,11,6168
S00092,P0059,2024-01-26,12,4730
S00093,P0054,2024-04-27,9,982
S00094,P0082,2024-06-22,11,1494
S00095,P0019,2024-05-31,11,6914
S00096,P0011,2024-02-03,18,6123
S00097,P0056,2024-03-10,9,3375
S00098,P0095,2024-06-08,19,2509
S00099,P0027,2024-03-08,14,4251
S00100,P0051,2024-03-22,19,1941
S00101,P0067,2024-02-18,8,1371
S00102,P0075,2024-03-28,10,653
S00103,P0002,2024-03-20,19,3274
S00104,P0011,2024-01-18,6,3837
S00105,P0056,2024-01-04,8,4514
S00106,P0017,2024-03-15,11,1252
S00107,P0001,2024-02-28,12,2304
S00108,P0038,2024-02-26,5,5711
S00109,P0088,2024-04-22,11,6636
S00110,P0063,2024-05-05,19,345
S00111,P0085,2024-01-16,5,5509
S00112,P0018,2024-04-11,16,4256
S00113,P0073,2024-01-19,7,6626
S00114,P0053,2024-05-20,4,6879
S00115,P0017,2024-01-22,6,395
S00116,P0026,2024-05-16,2,3242
S00117,P0096,2024-05-19,6,5881
S00118,P0041,2024-02-19,6,6074
S00119,P0029,2024-02-12,13,5145
S00120,P0021,2024-01-06,5,824
S00121,P0014,2024-02-12,1,6685
S00122,P0044,2024-05-02,19,1551
S00123,P0091,2024-05-28,2,3505
S00124,P0094,2024-05-24,17,1190
S00125,P0078,2024-01-10,18,5239
S00126,P0081,2024-04-17,16,4209
S00127,P0060,2024-06-11,8,6771
S00128,P0001,2024-01-14,12,2804
S00129,P0048,2024-01-17,1,5093
S00130,P0049,2024-05-05,12,4443
S00131,P0081,2024-06-26,13,2448
S00132,P0017,2024-02-03,8,4981
S00133,P0056,2024-02-28,17,2677
S00134,P0030,2024-01-29,19,2957
S00135,P0017,2024-03-23,14,1028
S00136,P0077,2024-02-01,11,3658
S00137,P0094,2024-01-01,10,3778
S00138,P0002,2024-05-04,12,1544
S00139,P0035,2024-06-09,6,6294
S00140,P0007,2024-05-20,4,2611
S00141,P0004,2024-06-01,2,1771
S00142,P0017,2024-02-15,1,4110
S00143,P0079,2024-01-26,18,2919
S00144,P0049,2024-06-06,5,372
S00145,P0072,2024-01-21,12,4849
S00146,P0032,2024-02-10,6,6082
S00147,P0051,2024-06-13,1,1501
S00148,P0066,2024-06-12,12,353
S00149,P0029,2024-02-12,8,6833
S00150,P0032,2024-03-16,19,1971
S00151,P0074,2024-05-22,10,3036
S00152,P0046,2024-05-22,13,3912
S00153,P0057,2024-02-03,4,4546
S00154,P0020,2024-06-02,6,1821
S00155,P0062,2024-05-06,13,3969
S00156,P0026,2024-02-23,8,3758
S00157,P0072,2024-04-10,14,3058
S00158,P0060,2024-05-31,13,6426
S00159,P0048,2024-03-23,3,2775
S00160,P0050,2024-04-26,6,6913
S00161,P0050,2024-05-21,5,6614
S00162,P0086,2024-01-20,1,3877
S00163,P0042,2024-04-09,16,6898
S00164,P0099,2024-01-20,10,1232
S00165,P0056,2024-02-18,15,279
S00166,P0012,2024-01-15,11,2443
S00167,P0083,2024-02-16,10,2261
S00168,P0041,2024-03-18,19,2156
S00169,P0027,2024-03-09,3,5652
S00170,P0021,2024-05-29,10,1027
S00171,P0053,2024-01-19,17,3291
S00172,P0006,2024-01-09,16,1115
S00173,P0056,2024-02-24,13,3506
S00174,P0001,2024-01-20,15,6104
S00175,P0100,2024-03-09,5,1182
S00176,P0011,2024-02-28,16,2204
S00177,P0064,2024-03-20,7,6989
S00178,P0041,2024-02-22,1,6116
S00179,P0014,2024-01-13,10,353
S00180,P0052,2024-06-14,11,5606
S00181,P0017,2024-02-23,3,1884
S00182,P0067,2024-01-03,6,3034
S00183,P0087,2024-01-06,17,4869
S00184,P0001,2024-01-28,10,249
S00185,P0037,2024-02-05,7,6997
S00186,P0085,2024-02-08,14,5414
S00187,P0038,2024-02-20,1,418
S00188,P0069,2024-03-24,13,3196
S00189,P0035,2024-01-14,7,1469
S00190,P0006,2024-01-08,12,4696
S00191,P0045,2024-06-12,11,2311
S00192,P0098,2024-04-02,8,3350
S00193,P0004,2024-03-28,8,1816
S00194,P0054,2024-05-16,13,4704
S00195,P0019,2024-04-15,19,2988
S00196,P0021,2024-06-18,13,6026
S00197,P0047,2024-05-27,17,4250
S00198,P0042,2024-01-15,11,922
S00199,P0016,2024-02-13,15,5313
S00200,P0023,2024-03-08,5,821
S00201,P0008,2024-01-06,1,4041
S00202,P0080,2024-06-20,2,3872
S00203,P0071,2024-01-18,13,1864
S00204,P0025,2024-01-14,7,3950
S00205,P0061,2024-03-31,16,944
S00206,P0023,2024-05-23,4,1970
S00207,P0053,2024-05-31,18,2913
S00208,P0006,2024-06-10,17,5391
S00209,P0038,2024-04-21,12,2405
S00210,P0026,2024-02-15,5,5187
S00211,P0020,2024-03-05,13,2110
S00212,P0085,2024-06-11,11,5724
S00213,P0056,2024-05-10,3,4033
S00214,P0053,2024-03-22,15,865
S00215,P0021,2024-03-25,11,3374
S00216,P0073,2024-05-24,16,4406
S00217,P0063,2024-01-13,5,3517
S00218,P0027,2024-06-21,4,2473
S00219,P0008,2024-04-07,11,6124
S00220,P0085,2024-01-27,19,3071
S00221,P0087,2024-05-27,16,3021
S00222,P0033,2024-02-24,12,5527
S00223,P0025,2024-02-02,15,687
S00224,P0092,2024-03-08,5,5058
S00225,P0037,2024-01-19,14,3087
S00226,P0053,2024-02-24,4,322
S00227,P0038,2024-06-24,9,1712
S00228,P0054,2024-02-10,11,2048
S00229,P0006,2024-03-02,6,6896
S00230,P0088,2024-01-03,4,850
S00231,P0010,2024-01-10,1,4232
S00232,P0063,2024-05-03,15,5746
S00233,P0004,2024-03-23,14,1614
S00234,P0050,2024-02-13,10,2435
S00235,P0078,2024-01-16,18,1509
S00236,P0035,2024-03-30,10,6325
S00237,P0082,2024-06-14,3,528
S00238,P0065,2024-01-07,13,6277
S00239,P0016,2024-06-02,8,172
S00240,P0005,2024-04-17,2,3787
S00241,P0070,2024-03-12,2,1954
S00242,P0037,2024-05-08,7,6320
S00243,P0022,2024-02-09,2,1760
S00244,P0034,2024-06-28,3,465
S00245,P0036,2024-05-17,1,2308
S00246,P0005,2024-03-10,19,4853
S00247,P0011,2024-02-19,15,3947
S00248,P0093,2024-01-10,10,4115
S00249,P0003,2024-06-12,5,6393
